timestamp,tx,ty,tz,qx,qy,qz,qw
1403636869.651666403,0.000000000,0.000000000,0.000000000,0.023610673,0.929308751,0.000000000,0.368548208
1403636869.701666594,-0.000014733,0.000963148,-0.000115076,0.025744632,0.930120200,0.001422128,0.366349020
1403636869.751666546,-0.000517410,0.003641543,0.000293843,0.027837688,0.930812383,0.002792577,0.364424987
1403636869.801666737,-0.002494873,0.012553726,0.000888029,0.030858007,0.930783666,0.004339804,0.364239917
1403636869.851666451,-0.004779306,0.019985701,0.002239935,0.034657366,0.929959027,0.006446680,0.365969282
1403636869.901666641,-0.007581228,0.028674852,0.003968854,0.039168592,0.928543464,0.008755484,0.369047691
1403636869.951666594,-0.010436877,0.038227183,0.005706486,0.043699900,0.927013200,0.010662757,0.372321302
1403636870.001666546,-0.013532562,0.048796856,0.007275224,0.048083139,0.925990530,0.012811659,0.374253139
1403636870.051666498,-0.008888427,0.064918950,0.011620784,0.068639215,0.922188109,0.019173330,0.380118578
1403636870.101666689,-0.013505888,0.076946556,0.014794820,0.074966646,0.924243240,0.024236529,0.373586704
1403636870.151666403,-0.019113852,0.091478216,0.018282627,0.078601238,0.926989365,0.027932308,0.365694338
1403636870.201666594,-0.021824884,0.104404652,0.021656286,0.082372536,0.927719541,0.032325598,0.362637937
1403636870.251666546,-0.019311722,0.143823060,0.026719660,0.098251768,0.926335655,0.023023033,0.362930825
1403636870.301666737,-0.020972937,0.161498373,0.030939511,0.103640991,0.925044260,0.024330027,0.364636411
1403636870.351666451,-0.022294779,0.179325924,0.035110246,0.109731246,0.922996334,0.026248058,0.367896534
1403636870.401666641,-0.026716971,0.200465339,0.034168762,0.114342148,0.921333064,0.031428199,0.370247927
1403636870.451666594,-0.018454450,0.218826665,0.031593577,0.121393901,0.918379172,0.036431063,0.374854632
1403636870.501666546,-0.016845313,0.233658061,0.032235048,0.128924709,0.917724778,0.035711726,0.374011128
1403636870.551666498,0.001031018,0.263527411,0.023414166,0.139024788,0.915787758,0.031747413,0.375495663
1403636870.601666689,0.000619026,0.276880138,0.023026236,0.144073616,0.917134999,0.036833664,0.369796523
1403636870.651666403,0.006184292,0.290767526,0.022793376,0.150135668,0.917337149,0.040787267,0.366453592
1403636870.701666594,-0.007753736,0.294190973,0.014870630,0.147399974,0.918169433,0.053850317,0.363783292
