timestamp,tx,ty,tz,qx,qy,qz,qw
1403638519.127829552,0.000000000,0.000000000,0.000000000,0.003290656,0.833015337,0.000000000,0.553240110
1403638519.177829504,0.000010139,-0.000019909,-0.000016627,0.003297259,0.833001567,0.000031315,0.553260803
1403638519.227829695,0.000020503,-0.000013328,-0.000001352,0.003316022,0.832980939,0.000027356,0.553291749
1403638519.277829409,0.000054171,-0.000009049,0.000017841,0.003312969,0.832968133,0.000044127,0.553311044
1403638519.327829599,0.000188205,-0.000030610,0.000037368,0.003302231,0.832866397,0.000063920,0.553464231
1403638519.377829552,0.000288687,-0.000030564,0.000039011,0.003283523,0.832866235,0.000102872,0.553464582
1403638519.427829504,0.000396269,0.000004322,0.000016743,0.003263385,0.832826437,0.000124146,0.553524579
1403638519.477829456,0.000531528,0.000049354,-0.000009625,0.003256818,0.832805902,0.000134193,0.553555512
1403638519.527829647,0.000706171,0.000064819,-0.000017480,0.003280268,0.832775610,0.000139014,0.553600942
1403638519.577829361,0.000895719,0.000068403,-0.000007058,0.003239327,0.832750341,0.000150980,0.553639191
1403638519.627829552,0.001106980,0.000086578,0.000003309,0.003238548,0.832721112,0.000176090,0.553683150
1403638519.677829504,0.001372455,0.000090092,-0.000023009,0.003216968,0.832719959,0.000198106,0.553685002
1403638519.727829695,0.001663585,0.000053332,-0.000061650,0.003178953,0.832701416,0.000195515,0.553713110
1403638519.777829409,0.001984454,-0.000030938,-0.000114508,0.003190321,0.832681757,0.000185244,0.553742611
1403638519.827829599,0.002356964,-0.000146124,-0.000173947,0.003206478,0.832662155,0.000219998,0.553771980
1403638519.877829552,0.002776708,-0.000320776,-0.000239011,0.003206691,0.832658995,0.000233824,0.553776725
1403638519.927829504,0.003205476,-0.000530082,-0.000297196,0.003226738,0.832612275,0.000243083,0.553846846
1403638519.977829456,0.003660347,-0.000765357,-0.000386708,0.003192598,0.832602417,0.000239970,0.553861864
1403638520.027829647,0.004181312,-0.001040733,-0.000482922,0.003208801,0.832578874,0.000230692,0.553897165
1403638520.077829361,0.003612144,-0.002065066,-0.000349051,0.004497860,0.832764633,0.001397500,0.553607155
1403638520.127829552,0.004026012,-0.002480738,-0.000406257,0.004557626,0.832747011,0.001459515,0.553633013
1403638520.177829504,0.004151088,-0.003562783,-0.000486843,0.005190176,0.832807513,0.002176351,0.553534075
1403638520.227829695,0.004585836,-0.004170584,-0.000549295,0.005268956,0.832799425,0.002288164,0.553545047
1403638520.277829409,0.007664509,-0.007498502,-0.000826275,0.007505178,0.832389680,0.004713733,0.554119909
1403638520.327829599,0.008517711,-0.008543932,-0.000914128,0.007634893,0.832345719,0.004922790,0.554182352
1403638520.377829552,0.011417468,-0.011831148,-0.001430520,0.009739880,0.831932548,0.007505950,0.554740509
1403638520.427829504,0.012689210,-0.013480792,-0.001590599,0.009966158,0.831871192,0.007835395,0.554823938
1403638520.477829456,0.014477445,-0.016444203,-0.001932402,0.011277682,0.831733946,0.009849998,0.554972464
1403638520.527829647,0.016000575,-0.018750600,-0.002157602,0.011591190,0.831684139,0.010252774,0.555033349
1403638520.577829361,0.018193599,-0.022836473,-0.002588609,0.013346815,0.831470945,0.013000962,0.555255712
1403638520.627829552,0.020016383,-0.026011691,-0.002895387,0.013698927,0.831411944,0.013463936,0.555324447
1403638520.677829504,0.022762414,-0.031166875,-0.003636592,0.015064130,0.831174599,0.016133848,0.555573179
1403638520.727829695,0.024974346,-0.035389203,-0.004110956,0.015454035,0.831120967,0.016633534,0.555627966
1403638520.777829409,0.028038657,-0.042044704,-0.004895341,0.017388588,0.830893663,0.019657089,0.555811979
1403638520.827829599,0.030628080,-0.047442208,-0.005469955,0.017841865,0.830819484,0.020212959,0.555888558
1403638520.877829552,0.033814429,-0.055570517,-0.006311722,0.020066126,0.830640505,0.023373042,0.555956295
1403638520.927829504,0.036748851,-0.062235144,-0.007044681,0.020480597,0.830543773,0.024043973,0.556057078
1403638520.977829456,0.041985071,-0.072077585,-0.008814940,0.021313886,0.830080700,0.026588706,0.556601105
1403638521.027829647,0.045527785,-0.080330438,-0.009666907,0.021765775,0.829964140,0.027360315,0.556720029
1403638521.077829361,0.052291357,-0.092380806,-0.011942271,0.022420830,0.829411096,0.029824021,0.557391307
1403638521.127829552,0.056656752,-0.102468137,-0.012893919,0.023071588,0.829299551,0.030622371,0.557487424
1403638521.177829504,0.064704823,-0.116750518,-0.015439239,0.023948376,0.828704280,0.033015534,0.558198590
1403638521.227829695,0.070098475,-0.128739939,-0.016708562,0.024272083,0.828582995,0.034020427,0.558304304
1403638521.277829409,0.079355481,-0.145186464,-0.019458213,0.025330077,0.827906863,0.036513702,0.559102283
1403638521.327829599,0.085713201,-0.159274637,-0.020888086,0.025693173,0.827800141,0.037395733,0.559185432
1403638521.377829552,0.096240528,-0.177932042,-0.024078794,0.027573238,0.827093533,0.039415245,0.560002182
1403638521.427829504,0.103786834,-0.194161539,-0.025794554,0.028139375,0.826961221,0.040307732,0.560105884
1403638521.477829456,0.114917034,-0.214059103,-0.028785952,0.029868532,0.826325189,0.042129509,0.560820521
1403638521.527829647,0.123708524,-0.232340896,-0.030775236,0.031002961,0.826155729,0.042901461,0.560950080
1403638521.577829361,0.135569158,-0.253568190,-0.033619679,0.033415052,0.825416292,0.043869402,0.561824577
1403638521.627829552,0.145707310,-0.273471873,-0.035745061,0.032944718,0.825286238,0.045709167,0.561896736
1403638521.677829504,0.156826488,-0.294516890,-0.037766580,0.034426279,0.824979367,0.046682600,0.562178450
1403638521.727829695,0.168019411,-0.316547516,-0.039974967,0.035392654,0.824712272,0.047260690,0.562461959
1403638521.777829409,0.180231430,-0.338828728,-0.041674060,0.037029573,0.824295750,0.048914017,0.562825680
1403638521.827829599,0.192578365,-0.362517587,-0.043846696,0.037463350,0.824124309,0.049644521,0.562984051
1403638521.877829552,0.205442228,-0.387190707,-0.046040843,0.038180530,0.823880675,0.050297744,0.563234424
1403638521.927829504,0.218710060,-0.413146236,-0.048349721,0.038753160,0.823749615,0.050565973,0.563362979
1403638521.977829456,0.232941652,-0.437260503,-0.049235928,0.040040468,0.822777138,0.051369856,0.564619943
1403638522.027829647,0.247114283,-0.465074597,-0.051750543,0.039453317,0.823531208,0.051335452,0.563564066
